0,1,2,3,4,5,6,7
1,PTY-0001,Normal,,,100.0,0.0,2026-04-18 12:55:02
2,PTY-0002,Managed,,,100.0,0.0,2026-04-18 23:58:59
3,PTY-0003,Cash,,,100.0,0.0,2026-04-19 00:12:29
